Day,Date,Flag,County,City,Description,Comments,Food,Travel,Hotel
292,2025-12-13,,France,Strasbourg,Colmar day trip,,,,Hôtel d'Alsace
293,2025-12-14,,France,Strasbourg,,,,,Hôtel d'Alsace
294,2025-12-15,,Belgium,Brussels,Luxembourg day trip,"7:52 -> 10:24 (train)
16:11 -> 19:23 (train)",,,easyHotel Brussels City Centre
295,2025-12-16,,Belgium,Brussels,,Chocolate Tour @ 14:00,,,easyHotel Brussels City Centre
296,2025-12-17,,Belgium,Brussels,,Parliament @ 11:00,Le Chou de Bruxelles @ 18:00,,easyHotel Brussels City Centre
297,2025-12-18,,Netherlands,Amsterdam,Anne Frank House @ 18:30,11:45 -> 14:30 (bus),,,Holiday Inn Express Amsterdam - Arena Towers by IHG
298,2025-12-19,,Netherlands,Amsterdam,,,,,Holiday Inn Express Amsterdam - Arena Towers by IHG
299,2025-12-20,,Netherlands,Amsterdam,,,,,Holiday Inn Express Amsterdam - Arena Towers by IHG
300,2025-12-21,,Netherlands,Amsterdam,,,,,Holiday Inn Express Amsterdam - Arena Towers by IHG
301,2025-12-22,,France,Paris,,15:10 -> 18:36 (train),,,Residence service AppartHotel Torcy
302,2025-12-23,,France,Paris,,,,,Residence service AppartHotel Torcy
303,2025-12-24,,France,Paris,Christmas Eve,The Louvre @ 12:30,,,Residence service AppartHotel Torcy
304,2025-12-25,,France,Paris,,,,,Residence service AppartHotel Torcy
305,2025-12-26,,France,Paris,,,,,Residence service AppartHotel Torcy
306,2025-12-27,,France,Bordeaux,,13:44 -> 16:10 (train),,,Holiday Inn Express Bordeaux - Lormont
307,2025-12-28,,France,Bordeaux,,,,,Holiday Inn Express Bordeaux - Lormont
308,2025-12-29,,France,Bordeaux,,,,,Holiday Inn Express Bordeaux - Lormont
309,2025-12-30,,France,Bordeaux,,,,,Holiday Inn Express Bordeaux - Lormont
310,2025-12-31,,France,Bordeaux,,,,,Holiday Inn Express Bordeaux - Lormont
311,2026-01-01,,France,Bordeaux,,,,,Holiday Inn Express Bordeaux - Lormont
312,2026-01-02,,Czech Republic,Prague,,,,BOD - PRG,Hotel Villa
313,2026-01-03,,Czech Republic,Janské Lázně,Snow tubing,10:25 -> 12:43 (bus),,,Penzion Flora
314,2026-01-04,,Czech Republic,Janské Lázně,"Sledding
Černohorská sáňkařská cesta",,,,Penzion Flora
315,2026-01-05,,Czech Republic,Prague,,12:05 -> 14:09 (bus),,,Hilton Prague
316,2026-01-06,,Czech Republic,Prague,Free walking tour @ 10:30,,,,Hilton Prague
317,2026-01-07,,Poland,Krakow,,8:30 -> 14:15 (train),,,Ibis Styles Krakow Centrum
318,2026-01-08,,Poland,Krakow,,,,,Ibis Styles Krakow Centrum
319,2026-01-09,,Poland,Krakow,Krakow: Auschwitz-Birkenau Guided Tour,,,,Ibis Styles Krakow Centrum
320,2026-01-10,,Poland,Zakopane,,12:45 -> 15:05 (bus),,,Apartament Maryna & Joanna
321,2026-01-11,,Poland,Zakopane,Snowmobiling @ 14:30,,,,Apartament Maryna & Joanna
322,2026-01-12,,Poland,Zakopane,,,,,Apartament Maryna & Joanna
323,2026-01-13,,Poland,Warsaw,,"9:05 -> 11:20 (bus)
13:47 -> 16:20 (train)",,,Nobu Hotel
324,2026-01-14,,Poland,Warsaw,,,,,Nobu Hotel
325,2026-01-15,,Hungary,Budapest,,,,WAW - BUD,Hampton by Hilton Budapest City Centre
326,2026-01-16,,Hungary,Budapest,,,,,Hampton by Hilton Budapest City Centre
327,2026-01-17,,Hungary,Budapest,Rudas Thermal Bath,,,,Hampton by Hilton Budapest City Centre
328,2026-01-18,,Hungary,Budapest,,,,,Airport Hotel Budapest
329,2026-01-19,,Germany,Berlin,,,Dinner with Tevy,BUD - BER,IntercityHotel Berlin Central Station
330,2026-01-20,,Germany,Berlin,,,,,IntercityHotel Berlin Central Station
331,2026-01-21,,Germany,Hamburg,,14:08 -> 16:34 (train),,,ibis Hamburg Alsterring
332,2026-01-22,,Germany,Hamburg,Miniatur Wunderland,,,,ibis Hamburg Alsterring
333,2026-01-23,,Germany,Hamburg,,,,,ibis Hamburg Alsterring
334,2026-01-24,,Germany,Hanover,,14:23 -> 15:38 (train),,,Hotel NH Hannover
335,2026-01-25,,Germany,Hanover,,,,,Hotel NH Hannover
336,2026-01-26,,Germany,Kassel,,9:53 -> 10:46 (train),,,COZY by Interior Apartments
337,2026-01-27,,Germany,Kassel,,,,,COZY by Interior Apartments
338,2026-01-28,,Germany,Frankfurt,,9:48 -> 11:14 (train),,,Kimpton Main Frankfurt by IHG
339,2026-01-29,,Japan,,,,,FRA - HND,
340,2026-01-30,,Japan,Tokyo,,,,,APA Hotel & Resort Yokohama Bay Tower
341,2026-01-31,,Japan,Hakone,Cup Noodles Museum,,,,Field Hakone Resort
342,2026-02-01,,Japan,Hakone,,TODO: Book Imperial Palace tour at 5am,,,Field Hakone Resort
343,2026-02-02,,Japan,Hakone,,,,,Field Hakone Resort
344,2026-02-03,,Japan,Abashiri,,,,HND - MMB,Dormy Inn Abashiri Natural Hot Spring
345,2026-02-04,,Japan,Abashiri,"Abashiri Drift Ice Sightseeing ＆ Icebreaker Ship ""Aurora""",,,,Dormy Inn Abashiri Natural Hot Spring
346,2026-02-05,,Japan,Abashiri,,,,,Dormy Inn Abashiri Natural Hot Spring
347,2026-02-06,,Japan,Abashiri,,,,,Dormy Inn Abashiri Natural Hot Spring
348,2026-02-07,,Japan,Hakodate,Sapporo Snow Festival day trip,"06:55 -> 12:10 (train)
18:46 -> 22:31 (train)
The Limited Express Okhotsk for Sapporo, Asahikawa and Abashiri",,,Tasogare Apartment 101
349,2026-02-08,,Japan,Hakodate,,,,,Tasogare Apartment 101
350,2026-02-09,,Japan,Hakodate,,,,,Tasogare Apartment 101
351,2026-02-10,,Japan,Hakodate,,,,,Tasogare Apartment 101
352,2026-02-11,,Japan,Sendai,,12:48 -> 15:29 (train),,,APA HOTEL SENDAIEKI-ITSUTSUBASHI
353,2026-02-12,,Japan,Sendai,,,,,APA HOTEL SENDAIEKI-ITSUTSUBASHI
354,2026-02-13,,Japan,Sendai,,,,,APA HOTEL SENDAIEKI-ITSUTSUBASHI
355,2026-02-14,,Japan,Nasu,,12:01 -> 12:59 (train),,,Jizaiso
356,2026-02-15,,Japan,Nasu,,,,,Jizaiso
357,2026-02-16,,Japan,Nasu,,,,,Jizaiso
358,2026-02-17,,Japan,Nasu,,,,,Jizaiso
359,2026-02-18,,Japan,Utsunomiya,,12:03 -> 12:17 (train),,,Richmond Hotel Utsunomiya Ekimae Annex
360,2026-02-19,,Japan,Utsunomiya,,,,,Richmond Hotel Utsunomiya Ekimae Annex
361,2026-02-20,,Japan,Utsunomiya,,,,,Richmond Hotel Utsunomiya Ekimae Annex
362,2026-02-21,,Japan,Utsunomiya,,,,,Richmond Hotel Utsunomiya Ekimae Annex
363,2026-02-22,,Japan,Utsunomiya,,,,,Richmond Hotel Utsunomiya Ekimae Annex
364,2026-02-23,,Japan,Tokyo,,12:21 -> 13:16 (train),,,The Strings by InterContinental Tokyo by IHG
365,2026-02-24,,Japan,Tokyo,,,,,The Strings by InterContinental Tokyo by IHG
366,2026-02-25,,Japan,Tokyo,,,,,APA Hotel PRIDE Akasaka Kokkaigijidomae
